Experiment number*,Temperature[°C],Time[min.],Humidity(H2Oaddition)[mL],Additive[%of cocoa weight],Epicatechin[Rel.Area],Procyanidin B-Dimer [Rel. Area],Procyanidin B-Trimer [Rel. Area],Fru-Phe [Rel.Area],VP[Rel.Area]
1,90,180,0.0,0.00,14.87,6.14,3.39,2.05,1.07
2,90,180,0.0,0.00,14.38,5.72,3.30,2.08,1.17
3,90,180,10.0,0.50,13.99,4.29,3.01,1.75,1.22
4,90,180,10.0,0.50,15.11,4.67,3.19,1.79,1.19
5,90,180,10.0,-0.50,13.39,5.47,2.99,2.15,0.91
6,90,180,10.0,-0.50,13.11,5.37,2.92,2.08,1.01
7,90,80,10.0,0.50,14.59,5.74,3.13,2.13,1.22
8,90,80,10.0,0.50,13.89,5.32,2.94,2.12,1.30
9,90,80,10.0,-0.50,13.83,5.47,2.96,2.29,1.18
10,90,80,10.0,-0.50,14.02,5.47,2.94,2.27,1.21
11,90,113,0.0,0.00,14.29,5.83,3.13,2.21,1.18
12,90,147,10.0,0.50,14.10,5.58,2.98,1.92,1.20
13,90,147,10.0,-0.50,13.08,5.17,2.74,2.14,1.17
14,109,149,22.5,1.12,14.87,5.82,2.85,1.24,0.82
15,109,149,22.5,-1.12,13.93,5.57,2.65,1.25,0.89
16,110,60,0.0,0.00,14.68,6.06,3.16,1.64,1.04
17,110,60,0.0,0.00,14.74,6.07,3.08,1.60,1.03
18,114,56,25.9,1.29,14.48,5.43,2.81,1.73,1.39
19,114,56,25.9,-1.29,12.05,5.08,2.60,2.20,1.15
20,120,130,0.0,0.00,14.06,5.79,2.97,0.70,0.69
21,120,130,0.0,0.00,14.33,5.67,2.92,0.64,0.71
22,125,66,33.1,1.65,15.83,3.60,2.06,0.87,1.25
23,125,66,33.1,1.65,15.67,5.25,2.47,1.27,1.37
24,125,66,33.1,-1.65,12.74,5.58,2.68,1.94,0.74
25,125,66,33.1,-1.65,12.06,5.34,2.49,1.41,0.98
26,127,118,35.0,1.75,16.11,4.71,1.97,0.27,0.89
27,127,118,35.0,1.75,15.56,4.59,1.96,0.37,1.00
28,127,118,35.0,-1.75,10.72,4.39,1.86,0.57,0.45
29,127,118,35.0,-1.75,9.53,3.80,1.60,0.35,0.39
30,137,67,8.4,0.42,14.86,5.28,2.35,0.18,0.53
31,137,67,8.4,-0.42,13.02,4.78,2.31,0.19,0.41
32,138,100,16.1,0.00,13.99,4.99,2.20,0.14,0.42
33,146,86,47.4,2.37,14.09,3.10,1.16,0.12,0.81
34,146,86,47.4,2.37,14.97,3.52,0.92,0.18,1.14
35,146,86,47.4,-2.37,10.42,4.19,1.63,0.35,0.41
36,146,86,47.4,-2.37,9.28,3.54,1.36,0.20,0.29
37,146,86,47.4,0.79,16.30,4.88,1.32,0.16,0.59
38,146,86,47.4,0.79,15.45,4.64,1.26,0.14,0.62
39,146,86,47.4,-0.79,12.36,4.95,2.11,0.49,-
40,146,86,47.4,-0.79,12.79,4.63,1.86,0.17,0.38
41,150,20,0.0,0.00,15.00,5.63,2.66,0.43,0.65
42,150,20,0.0,0.00,14.18,5.33,2.52,0.47,0.69
43,150,80,0.0,0.00,14.20,4.09,2.38,0.10,0.33
44,150,80,0.0,0.00,13.84,4.64,2.24,0.07,0.35
45,157,68,34.0,1.70,16.17,3.70,1.37,0.08,0.65
46,157,68,34.0,1.70,15.97,3.90,1.05,0.12,0.80
47,157,68,34.0,-1.70,12.44,3.45,1.67,0.20,0.34
48,157,68,34.0,-1.70,11.30,2.91,1.42,0.06,0.27
49,169,49,20.6,1.03,17.69,3.92,1.48,0.05,0.45
50,169,49,20.6,-1.03,15.32,3.26,1.50,0.04,0.27
51,180,30,0.0,0.00,23.00,2.79,1.07,0.04,0.27
52,180,30,7.1,0.36,18.92,4.14,1.48,0.04,0.32
53,180,30,7.1,0.36,18.51,3.06,1.45,0.04,0.31
54,180,30,7.1,-0.36,16.26,3.21,1.51,0.05,0.27
55,180,30,7.1,-0.36,17.37,3.66,1.34,0.04,0.26
56,150,45,40.0,0.00,16.21,5.23,3.31,1.57,1.26
57,130,40,25.0,0.75,16.34,6.60,3.36,1.77,1.45
58,140,40,25.0,-0.75,14.39,5.96,2.95,1.70,1.18
59,115,60,12.0,0.00,14.16,5.81,2.92,1.67,1.19
60,150,60,17.0,0.00,15.14,5.04,2.19,0.11,0.39
